               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.031477,            0.023305,                   0,             0.98437,             0.96336,             0.99012,             0.70484,            0.024805,            0.010376,                   0,            0.007624,            0.007624,            0.007624
                  62,            0.032194,            0.023899,                   0,              0.9815,             0.95459,             0.98971,             0.69138,             0.02553,            0.010378,                   0,           0.0075844,           0.0075844,           0.0075844
                  63,              0.0326,            0.025263,                   0,             0.98637,             0.96457,             0.99023,             0.72331,            0.023263,            0.010177,                   0,           0.0075448,           0.0075448,           0.0075448
                  64,            0.031901,            0.023253,                   0,             0.98813,             0.95736,             0.99151,              0.7232,            0.023929,            0.010335,                   0,           0.0075052,           0.0075052,           0.0075052
                  65,            0.030419,             0.02317,                   0,             0.98093,             0.95967,             0.98958,              0.7295,            0.022744,           0.0099488,                   0,           0.0074656,           0.0074656,           0.0074656
                  66,            0.030213,            0.022563,                   0,             0.98358,             0.96203,             0.99066,             0.73067,            0.023135,            0.010232,                   0,            0.007426,            0.007426,            0.007426
                  67,            0.031707,            0.023701,                   0,             0.97948,             0.95396,             0.98822,             0.71641,            0.023068,            0.010206,                   0,           0.0073864,           0.0073864,           0.0073864
                  68,            0.033042,            0.024842,                   0,             0.98229,             0.96081,             0.99094,              0.7095,            0.023831,            0.010113,                   0,           0.0073468,           0.0073468,           0.0073468
                  69,            0.031384,            0.023069,                   0,             0.98319,             0.96136,             0.99121,             0.72289,            0.022665,           0.0098387,                   0,           0.0073072,           0.0073072,           0.0073072
                  70,            0.031124,            0.022892,                   0,             0.98433,             0.96241,             0.98882,             0.72137,             0.02306,            0.010081,                   0,           0.0072676,           0.0072676,           0.0072676
                  71,             0.03171,            0.022734,                   0,             0.98572,             0.96546,             0.99209,             0.73082,            0.022608,           0.0099761,                   0,            0.007228,            0.007228,            0.007228
                  72,             0.03083,             0.02182,                   0,             0.98449,             0.96869,             0.99174,             0.73848,            0.022802,           0.0098204,                   0,           0.0071884,           0.0071884,           0.0071884
                  73,            0.031008,             0.02231,                   0,             0.98189,             0.97135,             0.99151,             0.72831,            0.022947,            0.010008,                   0,           0.0071488,           0.0071488,           0.0071488
                  74,            0.030464,            0.021973,                   0,             0.98114,             0.97056,             0.99082,              0.7473,            0.021672,           0.0096631,                   0,           0.0071092,           0.0071092,           0.0071092
                  75,              0.0312,            0.022338,                   0,             0.98333,             0.96136,             0.99062,             0.69599,            0.024406,            0.010475,                   0,           0.0070696,           0.0070696,           0.0070696
                  76,            0.031239,            0.022184,                   0,             0.98706,             0.96578,             0.99202,             0.72933,            0.022708,           0.0098309,                   0,             0.00703,             0.00703,             0.00703
